"id","name","unit_name","nutrient_nbr","rank"
"1008","Energy","KCAL","208","300.0"
"1062","Energy","kJ","268","400.0"
"1004","Total Fat","G","204","800.0"
"1258","Saturated Fat","G","606","9700.0"
"1257","Trans Fat","G","605","15400.0"
"1253","Cholesterol","MG","601","15700.0"
"1093","Sodium","MG","307","5800.0"
"1005","Carbohydrate","G","205","1110.0"
"1079","Dietary Fiber","G","291","1200.0"
"1063","Total Sugars","G","269.3","1500.0"
"1235","Added Sugars","G","539","1540.0"
"1003","Protein","G","203","600.0"
"1292","Monounsaturated Fatty acids","G","645","11400.0"
"1293","Polyunsaturated Fatty acids","G","646","12900.0"
"1086","Total sugar alcohols","G","299","999999.0"
"1110","Vitamin D (D2 + D3), International Units","IU","324","8650.0"
"1114","Vitamin D (D2 + D3)","UG","328","8700.0"
"1104","Vitamin A, IU","IU","318","7500.0"
"2067","Vitamin A","UG","960","7430"
"1165","Thiamin","MG","404","6400.0"
"1166","Riboflavin","MG","405","6500.0"
"1167","Niacin","MG","406","6600.0"
"1175","Vitamin B-6","MG","415","6800.0"
"1178","Vitamin B-12","UG","418","7300.0"
"1176","Biotin","UG","416","6850.0"
"1162","Vitamin C, total ascorbic acid","MG","401","6300.0"
"2068","Vitamin E","MG","959","7810"
"1183","Vitamin K (Menaquinone-4)","UG","428","8950.0"
"1184","Vitamin K (Dihydrophylloquinone)","UG","429","8900.0"
"1185","Vitamin K (phylloquinone)","UG","430","8800.0"
"1087","Calcium, Ca","MG","301","5300.0"
"1089","Iron, Fe","MG","303","5400.0"
"1092","Potassium, K","MG","306","5700.0"
"1177","Folate, total","UG","417","6900.0"
"1170","Pantothenic acid","MG","410","6700.0"
"1090","Magnesium, Mg","MG","304","5500.0"
"1091","Phosphorus, P","MG","305","5600.0"
"1100","Iodine, I","UG","314","6150.0"
"1095","Zinc, Zn","MG","309","5900.0"
"1103","Selenium, Se","UG","317","6200.0"
"1098","Copper, Cu","MG","312","6000.0"
"1101","Manganese, Mn","MG","315","6100.0"
"1096","Chromium, Cr","UG","310","999999.0"
"1102","Molybdenum, Mo","UG","316","6243.0"
"1088","Chlorine, Cl","MG","302","999999.0"
"1180","Choline, total","MG","421","7220.0"
"1099","Fluoride, F","UG","313","6240.0"
"1157","Carotene","MCG_RE","393","7600.0"
